month,year,time,age,arrest.pos,arrest.man,arrest.tot,expose,pop,officer,totpop,rate.tot,rate.pos,rate.man,rate.police,decrim,medmj_lag
1,2009,1,0,23,1,24,0,59367,712,256400,40.42649957,38.74206209,1.684437482,277.6911076,0,0
2,2009,2,0,15,2,17,0,59367,712,256400,28.6354372,25.26656223,3.368874964,277.6911076,0,0
3,2009,3,0,20,1,21,0,59367,712,256400,35.37318712,33.68874964,1.684437482,277.6911076,0,0
4,2009,4,0,14,5,19,0,59367,712,256400,32.00431216,23.58212475,8.422187411,277.6911076,0,0
5,2009,5,0,19,0,19,0,59367,712,256400,32.00431216,32.00431216,0,277.6911076,0,0
6,2009,6,0,13,6,19,0,59367,712,256400,32.00431216,21.89768727,10.10662489,277.6911076,0,0
7,2009,7,0,14,3,17,0,59367,712,256400,28.6354372,23.58212475,5.053312446,277.6911076,0,0
8,2009,8,0,12,1,13,0,59367,712,256400,21.89768727,20.21324979,1.684437482,277.6911076,0,0
9,2009,9,0,13,1,14,0,59367,712,256400,23.58212475,21.89768727,1.684437482,277.6911076,0,0
10,2009,10,0,12,0,12,0,59367,712,256400,20.21324979,20.21324979,0,277.6911076,0,0
11,2009,11,0,16,3,19,0,59367,712,256400,32.00431216,26.95099971,5.053312446,277.6911076,0,0
12,2009,12,0,18,2,20,0,59367,712,256400,33.68874964,30.31987468,3.368874964,277.6911076,0,0
1,2010,13,0,14,3,17,0,62057,713,268272,27.39416988,22.5599046,4.834265272,265.7750343,0,0
2,2010,14,0,17,1,18,0,62057,713,268272,29.00559163,27.39416988,1.611421757,265.7750343,0,0
3,2010,15,0,19,5,24,0,62057,713,268272,38.67412218,30.61701339,8.057108787,265.7750343,0,0
4,2010,16,0,12,7,19,0,62057,713,268272,30.61701339,19.33706109,11.2799523,265.7750343,0,0
5,2010,17,0,20,1,21,0,62057,713,268272,33.83985691,32.22843515,1.611421757,265.7750343,0,0
6,2010,18,0,22,4,26,0,62057,713,268272,41.89696569,35.45127866,6.44568703,265.7750343,0,0
7,2010,19,0,21,5,26,0,62057,713,268272,41.89696569,33.83985691,8.057108787,265.7750343,0,0
8,2010,20,0,24,2,26,0,62057,713,268272,41.89696569,38.67412218,3.222843515,265.7750343,0,0
9,2010,21,0,12,3,15,0,62057,713,268272,24.17132636,19.33706109,4.834265272,265.7750343,0,0
