month,year,time,race,arrest.pos,arrest.man,arrest.tot,expose,pop,officer,totpop,rate.tot,rate.pos,rate.man,rate.police,decrim,medmj_lag
1,2009,1,0,57,10,67,0,197653,712,256400,33.89779057,28.83841885,5.059371727,277.6911076,0,0
2,2009,2,0,51,3,54,0,197653,712,256400,27.32060733,25.80279581,1.517811518,277.6911076,0,0
3,2009,3,0,71,3,74,0,197653,712,256400,37.43935078,35.92153926,1.517811518,277.6911076,0,0
4,2009,4,0,49,6,55,0,197653,712,256400,27.8265445,24.79092146,3.035623036,277.6911076,0,0
5,2009,5,0,63,4,67,0,197653,712,256400,33.89779057,31.87404188,2.023748691,277.6911076,0,0
6,2009,6,0,66,13,79,0,197653,712,256400,39.96903665,33.3918534,6.577183245,277.6911076,0,0
7,2009,7,0,79,11,90,0,197653,712,256400,45.53434554,39.96903665,5.5653089,277.6911076,0,0
8,2009,8,0,33,8,41,0,197653,712,256400,20.74342408,16.6959267,4.047497382,277.6911076,0,0
9,2009,9,0,45,5,50,0,197653,712,256400,25.29685864,22.76717277,2.529685864,277.6911076,0,0
10,2009,10,0,40,4,44,0,197653,712,256400,22.2612356,20.23748691,2.023748691,277.6911076,0,0
11,2009,11,0,53,4,57,0,197653,712,256400,28.83841885,26.81467015,2.023748691,277.6911076,0,0
12,2009,12,0,38,10,48,0,197653,712,256400,24.28498429,19.22561256,5.059371727,277.6911076,0,0
1,2010,13,0,45,5,50,0,207382,713,268272,24.11009634,21.69908671,2.411009634,265.7750343,0,0
2,2010,14,0,40,10,50,0,207382,713,268272,24.11009634,19.28807708,4.822019269,265.7750343,0,0
3,2010,15,0,51,5,56,0,207382,713,268272,27.00330791,24.59229827,2.411009634,265.7750343,0,0
4,2010,16,0,47,20,67,0,207382,713,268272,32.3075291,22.66349056,9.644038538,265.7750343,0,0
5,2010,17,0,62,5,67,0,207382,713,268272,32.3075291,29.89651947,2.411009634,265.7750343,0,0
6,2010,18,0,86,13,99,0,207382,713,268272,47.73799076,41.46936571,6.268625049,265.7750343,0,0
7,2010,19,0,56,9,65,0,207382,713,268272,31.34312525,27.00330791,4.339817342,265.7750343,0,0
8,2010,20,0,52,5,57,0,207382,713,268272,27.48550983,25.0745002,2.411009634,265.7750343,0,0
9,2010,21,0,42,7,49,0,207382,713,268272,23.62789442,20.25248093,3.375413488,265.7750343,0,0
10,2010,22,0,37,7,44,0,207382,713,268272,21.21688478,17.84147129,3.375413488,265.7750343,0,0
11,2010,23,0,29,4,33,0,207382,713,268272,15.91266359,13.98385588,1.928807708,265.7750343,0,0
12,2010,24,0,38,4,42,0,207382,713,268272,20.25248093,18.32367322,1.928807708,265.7750343,0,0
1,2011,25,0,37,15,52,0,207747,575,269218,25.03044569,17.81012482,7.220320871,213.5815584,0,0
2,2011,26,0,49,7,56,0,207747,575,269218,26.95586459,23.58638151,3.369483073,213.5815584,0,0
3,2011,27,0,49,4,53,0,207747,575,269218,25.51180041,23.58638151,1.925418899,213.5815584,0,0
4,2011,28,0,38,9,47,0,207747,575,269218,22.62367206,18.29147954,4.332192523,213.5815584,0,0
5,2011,29,0,56,5,61,0,207747,575,269218,29.36263821,26.95586459,2.406773624,213.5815584,0,0
6,2011,30,0,31,4,35,0,207747,575,269218,16.84741537,14.92199647,1.925418899,213.5815584,0,0
7,2011,31,0,35,7,42,0,207747,575,269218,20.21689844,16.84741537,3.369483073,213.5815584,0,0
8,2011,32,0,51,9,60,0,207747,575,269218,28.88128348,24.54909096,4.332192523,213.5815584,0,0
9,2011,33,0,24,4,28,0,207747,575,269218,13.47793229,11.55251339,1.925418899,213.5815584,0,0
10,2011,34,0,40,3,43,0,207747,575,269218,20.69825316,19.25418899,1.444064174,213.5815584,0,0
11,2011,35,0,44,6,50,0,207747,575,269218,24.06773624,21.17960789,2.888128348,213.5815584,0,0
12,2011,36,0,50,11,61,0,207747,575,269218,29.36263821,24.06773624,5.294901972,213.5815584,0,0
1,2012,37,0,50,8,58,0,208043,803,269997,27.87885197,24.03349308,3.845358892,297.410712,0,0
2,2012,38,0,36,9,45,0,208043,803,269997,21.63014377,17.30411501,4.326028754,297.410712,0,0
3,2012,39,0,47,7,54,0,208043,803,269997,25.95617252,22.59148349,3.364689031,297.410712,0,0
4,2012,40,0,65,4,69,0,208043,803,269997,33.16622044,31.243541,1.922679446,297.410712,0,0
5,2012,41,0,44,5,49,0,208043,803,269997,23.55282321,21.14947391,2.403349308,297.410712,0,0
6,2012,42,0,55,6,61,0,208043,803,269997,29.32086155,26.43684238,2.884019169,297.410712,0,0
7,2012,43,0,38,5,43,0,208043,803,269997,20.66880405,18.26545474,2.403349308,297.410712,0,0
8,2012,44,0,37,8,45,0,208043,803,269997,21.63014377,17.78478488,3.845358892,297.410712,0,0
9,2012,45,0,47,12,59,0,208043,803,269997,28.35952183,22.59148349,5.768038338,297.410712,0,0
10,2012,46,0,48,8,56,0,208043,803,269997,26.91751225,23.07215335,3.845358892,297.410712,0,0
11,2012,47,0,39,3,42,0,208043,803,269997,20.18813418,18.7461246,1.442009585,297.410712,0,0
12,2012,48,0,36,1,37,0,208043,803,269997,17.78478488,17.30411501,0.480669862,297.410712,0,0
1,2013,49,0,58,5,63,0,208436,768,271439,30.22510507,27.82628721,2.398817863,282.9364977,0,0
2,2013,50,0,41,6,47,0,208436,768,271439,22.54888791,19.67030647,2.878581435,282.9364977,0,0
3,2013,51,0,35,6,41,0,208436,768,271439,19.67030647,16.79172504,2.878581435,282.9364977,0,0
4,2013,52,0,33,6,39,0,208436,768,271439,18.71077933,15.83219789,2.878581435,282.9364977,0,0
