month,year,time,sex,arrest.pos,arrest.man,arrest.tot,expose,pop,officer,totpop,rate.tot,rate.pos,rate.man,rate.police,decrim,medmj_lag
1,2009,1,0,23,1,24,0,134546,712,256400,17.83776552,17.09452529,0.74324023,277.6911076,0,0
2,2009,2,0,15,2,17,0,134546,712,256400,12.63508391,11.14860345,1.48648046,277.6911076,0,0
3,2009,3,0,20,1,21,0,134546,712,256400,15.60804483,14.8648046,0.74324023,277.6911076,0,0
4,2009,4,0,14,5,19,0,134546,712,256400,14.12156437,10.40536322,3.716201151,277.6911076,0,0
5,2009,5,0,19,0,19,0,134546,712,256400,14.12156437,14.12156437,0,277.6911076,0,0
6,2009,6,0,13,6,19,0,134546,712,256400,14.12156437,9.662122991,4.459441381,277.6911076,0,0
7,2009,7,0,14,3,17,0,134546,712,256400,12.63508391,10.40536322,2.22972069,277.6911076,0,0
8,2009,8,0,12,1,13,0,134546,712,256400,9.662122991,8.918882761,0.74324023,277.6911076,0,0
9,2009,9,0,13,1,14,0,134546,712,256400,10.40536322,9.662122991,0.74324023,277.6911076,0,0
10,2009,10,0,12,0,12,0,134546,712,256400,8.918882761,8.918882761,0,277.6911076,0,0
11,2009,11,0,16,3,19,0,134546,712,256400,14.12156437,11.89184368,2.22972069,277.6911076,0,0
12,2009,12,0,18,2,20,0,134546,712,256400,14.8648046,13.37832414,1.48648046,277.6911076,0,0
1,2010,13,0,14,3,17,0,138567,713,268272,12.26843332,10.10341568,2.165017645,265.7750343,0,0
2,2010,14,0,17,1,18,0,138567,713,268272,12.99010587,12.26843332,0.721672548,265.7750343,0,0
3,2010,15,0,19,5,24,0,138567,713,268272,17.32014116,13.71177842,3.608362741,265.7750343,0,0
4,2010,16,0,12,7,19,0,138567,713,268272,13.71177842,8.66007058,5.051707838,265.7750343,0,0
5,2010,17,0,20,1,21,0,138567,713,268272,15.15512351,14.43345097,0.721672548,265.7750343,0,0
6,2010,18,0,22,4,26,0,138567,713,268272,18.76348626,15.87679606,2.886690193,265.7750343,0,0
7,2010,19,0,21,5,26,0,138567,713,268272,18.76348626,15.15512351,3.608362741,265.7750343,0,0
8,2010,20,0,24,2,26,0,138567,713,268272,18.76348626,17.32014116,1.443345097,265.7750343,0,0
9,2010,21,0,12,3,15,0,138567,713,268272,10.82508822,8.66007058,2.165017645,265.7750343,0,0
10,2010,22,0,11,3,14,0,138567,713,268272,10.10341568,7.938398031,2.165017645,265.7750343,0,0
11,2010,23,0,8,1,9,0,138567,713,268272,6.495052935,5.773380386,0.721672548,265.7750343,0,0
12,2010,24,0,16,2,18,0,138567,713,268272,12.99010587,11.54676077,1.443345097,265.7750343,0,0
1,2011,25,0,12,4,16,0,139042,575,269218,11.50731434,8.630485753,2.876828584,213.5815584,0,0
2,2011,26,0,16,3,19,0,139042,575,269218,13.66493577,11.50731434,2.157621438,213.5815584,0,0
3,2011,27,0,24,1,25,0,139042,575,269218,17.98017865,17.26097151,0.719207146,213.5815584,0,0
4,2011,28,0,12,4,16,0,139042,575,269218,11.50731434,8.630485753,2.876828584,213.5815584,0,0
5,2011,29,0,22,0,22,0,139042,575,269218,15.82255721,15.82255721,0,213.5815584,0,0
6,2011,30,0,13,1,14,0,139042,575,269218,10.06890004,9.349692899,0.719207146,213.5815584,0,0
7,2011,31,0,11,0,11,0,139042,575,269218,7.911278606,7.911278606,0,213.5815584,0,0
8,2011,32,0,19,0,19,0,139042,575,269218,13.66493577,13.66493577,0,213.5815584,0,0
9,2011,33,0,9,0,9,0,139042,575,269218,6.472864314,6.472864314,0,213.5815584,0,0
10,2011,34,0,16,1,17,0,139042,575,269218,12.22652148,11.50731434,0.719207146,213.5815584,0,0
11,2011,35,0,15,1,16,0,139042,575,269218,11.50731434,10.78810719,0.719207146,213.5815584,0,0
12,2011,36,0,18,2,20,0,139042,575,269218,14.38414292,12.94572863,1.438414292,213.5815584,0,0
