month,year,time,expose,arrest.tot,arrest.pos,arrest.man,totpop,officer,rate.tot,rate.pos,rate.man,rate.police,decrim,medmj_lag
1,2009,1,1,573,411,162,1531112,6654,37.42378089,26.8432355,10.58054538,434.5861047,0,0
2,2009,2,1,578,430,148,1531112,6654,37.75034093,28.08416367,9.666177262,434.5861047,0,0
3,2009,3,1,657,494,163,1531112,6654,42.9099896,32.26413221,10.64585739,434.5861047,0,0
4,2009,4,1,716,537,179,1531112,6654,46.76339811,35.07254858,11.69084953,434.5861047,0,0
5,2009,5,1,668,515,153,1531112,6654,43.6284217,33.63568439,9.992737305,434.5861047,0,0
6,2009,6,1,688,519,169,1531112,6654,44.93466187,33.89693243,11.03772944,434.5861047,0,0
7,2009,7,1,676,486,190,1531112,6654,44.15091776,31.74163614,12.40928162,434.5861047,0,0
8,2009,8,1,635,480,155,1531112,6654,41.47312541,31.34976409,10.12336132,434.5861047,0,0
9,2009,9,1,622,436,186,1531112,6654,40.6240693,28.47603572,12.14803359,434.5861047,0,0
10,2009,10,1,571,403,168,1531112,6654,37.29315687,26.32073944,10.97241743,434.5861047,0,0
11,2009,11,1,533,383,150,1531112,6654,34.81130054,25.01449927,9.796801279,434.5861047,0,0
12,2009,12,1,450,327,123,1531112,6654,29.39040384,21.35702679,8.033377049,434.5861047,0,0
1,2010,13,1,645,436,209,1528293,6654,42.20394911,28.52856095,13.67538816,435.3877169,0,0
2,2010,14,1,591,408,183,1528293,6654,38.67059523,26.69645153,11.9741437,435.3877169,0,0
3,2010,15,1,749,528,221,1528293,6654,49.00892695,34.54834904,14.46057791,435.3877169,0,0
4,2010,16,1,793,554,239,1528293,6654,51.88795604,36.2495935,15.63836254,435.3877169,0,0
5,2010,17,1,725,514,211,1528293,6654,47.43854745,33.63229433,13.80625312,435.3877169,0,0
6,2010,18,1,723,501,222,1528293,6654,47.30768249,32.7816721,14.52601039,435.3877169,0,0
7,2010,19,1,682,480,202,1528293,6654,44.62495084,31.40759004,13.21736081,435.3877169,0,0
8,2010,20,1,677,479,198,1528293,6654,44.29778845,31.34215756,12.95563089,435.3877169,0,0
9,2010,21,1,618,424,194,1528293,6654,40.43727217,27.7433712,12.69390097,435.3877169,0,0
10,2010,22,1,692,448,244,1528293,6654,45.27927564,29.3137507,15.96552494,435.3877169,0,0
11,2010,23,1,650,435,215,1528293,6654,42.53111151,28.46312847,14.06798304,435.3877169,0,0
12,2010,24,1,520,330,190,1528293,6654,34.02488921,21.59271815,12.43217106,435.3877169,0,0
1,2011,25,1,523,328,195,1540322,6654,33.9539395,21.29424886,12.65969064,431.9875974,0,0
2,2011,26,1,630,408,222,1540322,6654,40.90053898,26.4879681,14.41257088,431.9875974,0,0
3,2011,27,1,726,498,228,1540322,6654,47.13300206,32.33090224,14.80209982,431.9875974,0,0
4,2011,28,1,631,446,185,1540322,6654,40.96546047,28.95498474,12.01047573,431.9875974,0,0
5,2011,29,1,545,392,153,1540322,6654,35.38221229,25.44922425,9.932988038,431.9875974,0,0
6,2011,30,1,650,447,203,1540322,6654,42.19896879,29.01990623,13.17906256,431.9875974,0,0
7,2011,31,1,579,397,182,1540322,6654,37.58954297,25.77383171,11.81571126,431.9875974,0,0
8,2011,32,1,613,408,205,1540322,6654,39.79687364,26.4879681,13.30890554,431.9875974,0,0
9,2011,33,1,648,434,214,1540322,6654,42.06912581,28.17592685,13.89319895,431.9875974,0,0
10,2011,34,1,569,384,185,1540322,6654,36.94032806,24.92985233,12.01047573,431.9875974,0,0
11,2011,35,1,481,310,171,1540322,6654,31.2272369,20.12566204,11.10157487,431.9875974,0,0
12,2011,36,1,523,330,193,1540322,6654,33.9539395,21.42409185,12.52984766,431.9875974,0,0
1,2012,37,1,509,347,162,1551797,6537,32.80068205,22.36117224,10.43950981,421.2535531,0,0
2,2012,38,1,531,325,206,1551797,6537,34.21839326,20.94346103,13.27493222,421.2535531,0,0
3,2012,39,1,532,357,175,1551797,6537,34.28283467,23.00558643,11.27724825,421.2535531,0,0
4,2012,40,1,551,361,190,1551797,6537,35.50722163,23.2633521,12.24386953,421.2535531,0,0
5,2012,41,1,576,374,202,1551797,6537,37.11825709,24.10109054,13.01716655,421.2535531,0,0
6,2012,42,1,588,362,226,1551797,6537,37.89155411,23.32779352,14.56376059,421.2535531,0,0
7,2012,43,1,516,343,173,1551797,6537,33.25177198,22.10340657,11.14836541,421.2535531,0,0
8,2012,44,1,571,353,218,1551797,6537,36.79605,22.74782075,14.04822925,421.2535531,0,0
9,2012,45,1,523,348,175,1551797,6537,33.70286191,22.42561366,11.27724825,421.2535531,0,0
10,2012,46,1,662,430,232,1551797,6537,42.66021909,27.70980998,14.95040911,421.2535531,0,0
11,2012,47,1,547,344,203,1551797,6537,35.24945595,22.16784799,13.08160797,421.2535531,0,0
12,2012,48,1,448,292,156,1551797,6537,28.86975552,18.81689422,10.0528613,421.2535531,0,0
1,2013,49,1,530,338,192,1558371,6537,34.00987313,21.68931532,12.32055781,419.4764918,0,0
2,2013,50,1,541,347,194,1558371,6537,34.71573842,22.26684146,12.44889696,419.4764918,0,0
3,2013,51,1,516,339,177,1558371,6537,33.11149912,21.75348489,11.35801423,419.4764918,0,0
4,2013,52,1,612,427,185,1558371,6537,39.27177803,27.40040722,11.87137081,419.4764918,0,0
5,2013,53,1,643,443,200,1558371,6537,41.26103476,28.42712037,12.83391439,419.4764918,0,0
6,2013,54,1,557,369,188,1558371,6537,35.74245157,23.67857205,12.06387953,419.4764918,0,0
7,2013,55,1,488,334,154,1558371,6537,31.31475111,21.43263703,9.882114079,419.4764918,0,0
8,2013,56,1,587,367,220,1558371,6537,37.66753873,23.5502329,14.11730583,419.4764918,0,0
9,2013,57,1,511,348,163,1558371,6537,32.79065126,22.33101104,10.45964023,419.4764918,0,0
10,2013,58,1,644,438,206,1558371,6537,41.32520433,28.10627251,13.21893182,419.4764918,0,0
11,2013,59,1,523,303,220,1558371,6537,33.56068613,19.4433803,14.11730583,419.4764918,0,0
12,2013,60,1,395,249,146,1558371,6537,25.34698092,15.97822341,9.368757504,419.4764918,0,0
1,2014,61,1,349,228,121,1565604,6439,22.29171617,14.56306959,7.72864658,411.2789697,0,0
2,2014,62,1,425,254,171,1565604,6439,27.1460727,16.22377051,10.92230219,411.2789697,0,0
3,2014,63,1,460,315,145,1565604,6439,29.38163163,20.12003035,9.261601273,411.2789697,0,0
4,2014,64,1,505,325,180,1565604,6439,32.25592168,20.75876147,11.4971602,411.2789697,0,0
5,2014,65,1,443,289,154,1565604,6439,28.29578872,18.45932943,9.836459283,411.2789697,0,0
6,2014,66,1,409,275,134,1565604,6439,26.1241029,17.56510586,8.558997039,411.2789697,1,0
7,2014,67,1,412,289,123,1565604,6439,26.31572224,18.45932943,7.856392804,411.2789697,1,0
8,2014,68,1,459,281,178,1565604,6439,29.31775851,17.94834454,11.36941398,411.2789697,1,0
9,2014,69,1,464,293,171,1565604,6439,29.63712407,18.71482188,10.92230219,411.2789697,1,0
10,2014,70,1,320,186,134,1565604,6439,20.43939591,11.88039887,8.558997039,411.2789697,1,0
11,2014,71,1,158,70,88,1565604,6439,10.09195173,4.471117856,5.620833876,411.2789697,1,0
12,2014,72,1,179,64,115,1565604,6439,11.43328709,4.087879183,7.345407906,411.2789697,1,0
1,2015,73,1,283,103,180,1571258,6442,18.01104593,6.555256998,11.45578893,409.9899571,1,0
2,2015,74,1,224,101,123,1571258,6442,14.25609289,6.427970454,7.828122434,409.9899571,1,0
3,2015,75,1,214,90,124,1571258,6442,13.61966017,5.727894464,7.891765706,409.9899571,1,0
4,2015,76,1,230,86,144,1571258,6442,14.63795252,5.473321377,9.164631143,409.9899571,1,0
5,2015,77,1,189,70,119,1571258,6442,12.02857837,4.455029028,7.573549347,409.9899571,1,0
6,2015,78,1,166,48,118,1571258,6442,10.56478312,3.054877048,7.509906075,409.9899571,1,0
7,2015,79,1,157,48,109,1571258,6442,9.991993676,3.054877048,6.937116629,409.9899571,1,0
8,2015,80,1,176,58,118,1571258,6442,11.20121584,3.691309766,7.509906075,409.9899571,1,0
9,2015,81,1,204,56,148,1571258,6442,12.98322745,3.564023222,9.41920423,409.9899571,1,0
10,2015,82,1,213,55,158,1571258,6442,13.5560169,3.50037995,10.05563695,409.9899571,1,0
11,2015,83,1,192,88,104,1571258,6442,12.21950819,5.600607921,6.61890027,409.9899571,1,0
12,2015,84,1,175,48,127,1571258,6442,11.13757257,3.054877048,8.082695522,409.9899571,1,0
1,2016,85,1,163,63,100,1576390,6342,10.34008082,3.996472954,6.343607864,402.3116107,1,0
2,2016,86,1,232,78,154,1576390,6342,14.71717024,4.948014134,9.76915611,402.3116107,1,0
3,2016,87,1,205,59,146,1576390,6342,13.00439612,3.742728639,9.261667481,402.3116107,1,0
4,2016,88,1,210,69,141,1576390,6342,13.32157651,4.377089426,8.944487088,402.3116107,1,0
5,2016,89,1,220,60,160,1576390,6342,13.9559373,3.806164718,10.14977258,402.3116107,1,0
6,2016,90,1,187,63,124,1576390,6342,11.8625467,3.996472954,7.866073751,402.3116107,1,0
7,2016,91,1,100,30,70,1576390,6342,6.343607864,1.903082359,4.440525504,402.3116107,1,0
8,2016,92,1,151,46,105,1576390,6342,9.578847874,2.918059617,6.660788257,402.3116107,1,0
9,2016,93,1,160,48,112,1576390,6342,10.14977258,3.044931774,7.104840807,402.3116107,1,0
10,2016,94,1,202,70,132,1576390,6342,12.81408788,4.440525504,8.37356238,402.3116107,1,0
11,2016,95,1,163,50,113,1576390,6342,10.34008082,3.171803932,7.168276886,402.3116107,1,0
12,2016,96,1,197,62,135,1576390,6342,12.49690749,3.933036875,8.563870616,402.3116107,1,0
1,2017,97,1,188,65,123,1580221,6579,11.89707009,4.113348702,7.783721391,416.334171,1,0
2,2017,98,1,229,45,184,1580221,6579,14.49164389,2.847702948,11.64394094,416.334171,1,0
3,2017,99,1,214,83,131,1580221,6579,13.54240957,5.252429882,8.289979693,416.334171,1,0
4,2017,100,1,278,82,196,1580221,6579,17.59247599,5.189147594,12.4033284,416.334171,1,0
5,2017,101,1,238,61,177,1580221,6579,15.06118448,3.860219552,11.20096493,416.334171,1,0
6,2017,102,1,183,46,137,1580221,6579,11.58065865,2.910985236,8.669673419,416.334171,1,0
7,2017,103,1,188,47,141,1580221,6579,11.89707009,2.974267523,8.92280257,416.334171,1,0
8,2017,104,1,255,70,185,1580221,6579,16.13698337,4.429760141,11.70722323,416.334171,1,0
9,2017,105,1,221,51,170,1580221,6579,13.98538559,3.227396674,10.75798891,416.334171,1,0
10,2017,106,1,213,69,144,1580221,6579,13.47912729,4.366477853,9.112649433,416.334171,1,0
11,2017,107,1,223,64,159,1580221,6579,14.11195016,4.050066415,10.06188375,416.334171,1,0
12,2017,108,1,234,67,167,1580221,6579,14.80805533,4.239913278,10.56814205,416.334171,1,0
1,2018,109,1,237,75,162,1584138,6579,14.96081781,4.734436015,10.22638179,415.3047272,1,0
2,2018,110,1,193,62,131,1584138,6579,12.18328201,3.913800439,8.269481573,415.3047272,1,1
3,2018,111,1,186,63,123,1584138,6579,11.74140132,3.976926253,7.764475065,415.3047272,1,1
4,2018,112,1,152,67,85,1584138,6579,9.595123657,4.229429507,5.36569415,415.3047272,1,1
5,2018,113,1,146,41,105,1584138,6579,9.216368776,2.588158355,6.628210421,415.3047272,1,1
6,2018,114,1,198,50,148,1584138,6579,12.49891108,3.156290677,9.342620403,415.3047272,1,1
7,2018,115,1,145,36,109,1584138,6579,9.153242962,2.272529287,6.880713675,415.3047272,1,1
8,2018,116,1,170,46,124,1584138,6579,10.7313883,2.903787423,7.827600878,415.3047272,1,1
9,2018,117,1,131,37,94,1584138,6579,8.269481573,2.335655101,5.933826472,415.3047272,1,1
10,2018,118,1,164,41,123,1584138,6579,10.35263342,2.588158355,7.764475065,415.3047272,1,1
11,2018,119,1,133,39,94,1584138,6579,8.3957332,2.461906728,5.933826472,415.3047272,1,1
12,2018,120,1,162,57,105,1584138,6579,10.22638179,3.598171371,6.628210421,415.3047272,1,1
1,2009,1,0,110,94,16,256400,712,42.90171607,36.66146646,6.24024961,277.6911076,0,0
2,2009,2,0,102,87,15,256400,712,39.78159126,33.93135725,5.850234009,277.6911076,0,0
3,2009,3,0,121,106,15,256400,712,47.19188768,41.34165367,5.850234009,277.6911076,0,0
4,2009,4,0,98,78,20,256400,712,38.22152886,30.42121685,7.800312012,277.6911076,0,0
5,2009,5,0,118,105,13,256400,712,46.02184087,40.95163807,5.070202808,277.6911076,0,0
6,2009,6,0,129,101,28,256400,712,50.31201248,39.39157566,10.92043682,277.6911076,0,0
7,2009,7,0,129,105,24,256400,712,50.31201248,40.95163807,9.360374415,277.6911076,0,0
8,2009,8,0,69,51,18,256400,712,26.91107644,19.89079563,7.020280811,277.6911076,0,0
9,2009,9,0,83,75,8,256400,712,32.37129485,29.25117005,3.120124805,277.6911076,0,0
10,2009,10,0,77,69,8,256400,712,30.03120125,26.91107644,3.120124805,277.6911076,0,0
11,2009,11,0,93,84,9,256400,712,36.27145086,32.76131045,3.510140406,277.6911076,0,0
12,2009,12,0,89,67,22,256400,712,34.71138846,26.13104524,8.580343214,277.6911076,0,0
1,2010,13,0,101,85,16,268272,713,37.64835689,31.68426075,5.964096141,265.7750343,0,0
2,2010,14,0,89,66,23,268272,713,33.17528479,24.60189658,8.573388203,265.7750343,0,0
3,2010,15,0,110,93,17,268272,713,41.00316097,34.66630882,6.33685215,265.7750343,0,0
4,2010,16,0,112,85,27,268272,713,41.74867299,31.68426075,10.06441224,265.7750343,0,0
5,2010,17,0,111,97,14,268272,713,41.37591698,36.15733286,5.218584124,265.7750343,0,0
6,2010,18,0,139,118,21,268272,713,51.81308523,43.98520904,7.827876185,265.7750343,0,0
7,2010,19,0,111,87,24,268272,713,41.37591698,32.42977277,8.946144212,265.7750343,0,0
8,2010,20,0,116,96,20,268272,713,43.23969702,35.78457685,7.455120177,265.7750343,0,0
9,2010,21,0,96,77,19,268272,713,35.78457685,28.70221268,7.082364168,265.7750343,0,0
10,2010,22,0,82,63,19,268272,713,30.56599272,23.48362856,7.082364168,265.7750343,0,0
11,2010,23,0,57,48,9,268272,713,21.2470925,17.89228842,3.354804079,265.7750343,0,0
12,2010,24,0,67,58,9,268272,713,24.97465259,21.61984851,3.354804079,265.7750343,0,0
1,2011,25,0,96,69,27,269218,575,35.6588341,25.62978701,10.02904709,213.5815584,0,0
2,2011,26,0,103,84,19,269218,575,38.25895742,31.20147984,7.057477583,213.5815584,0,0
3,2011,27,0,113,99,14,269218,575,41.97341931,36.77317267,5.20024664,213.5815584,0,0
4,2011,28,0,90,68,22,269218,575,33.43015697,25.25834082,8.171816149,213.5815584,0,0
5,2011,29,0,109,96,13,269218,575,40.48763456,35.6588341,4.828800452,213.5815584,0,0
6,2011,30,0,78,64,14,269218,575,28.97280271,23.77255607,5.20024664,213.5815584,0,0
7,2011,31,0,74,62,12,269218,575,27.48701796,23.02966369,4.457354263,213.5815584,0,0
8,2011,32,0,101,86,15,269218,575,37.51606505,31.94437222,5.571692829,213.5815584,0,0
9,2011,33,0,51,46,5,269218,575,18.94375562,17.08652468,1.857230943,213.5815584,0,0
10,2011,34,0,95,82,13,269218,575,35.28738792,30.45858746,4.828800452,213.5815584,0,0
11,2011,35,0,87,73,14,269218,575,32.31581841,27.11557177,5.20024664,213.5815584,0,0
12,2011,36,0,86,71,15,269218,575,31.94437222,26.37267939,5.571692829,213.5815584,0,0
1,2012,37,0,120,98,22,269997,803,44.44493828,36.29669959,8.148238684,297.410712,0,0
2,2012,38,0,89,72,17,269997,803,32.96332922,26.66696297,6.296366256,297.410712,0,0
3,2012,39,0,92,77,15,269997,803,34.07445268,28.51883539,5.555617285,297.410712,0,0
4,2012,40,0,129,109,20,269997,803,47.77830865,40.37081894,7.407489713,297.410712,0,0
5,2012,41,0,103,86,17,269997,803,38.14857202,31.85220577,6.296366256,297.410712,0,0
6,2012,42,0,93,81,12,269997,803,34.44482716,30.00033334,4.444493828,297.410712,0,0
7,2012,43,0,77,61,16,269997,803,28.51883539,22.59284362,5.92599177,297.410712,0,0
8,2012,44,0,91,70,21,269997,803,33.70407819,25.92621399,7.777864198,297.410712,0,0
9,2012,45,0,94,74,20,269997,803,34.81520165,27.40771194,7.407489713,297.410712,0,0
10,2012,46,0,96,79,17,269997,803,35.55595062,29.25958437,6.296366256,297.410712,0,0
11,2012,47,0,81,72,9,269997,803,30.00033334,26.66696297,3.333370371,297.410712,0,0
12,2012,48,0,79,69,10,269997,803,29.25958437,25.55583951,3.703744856,297.410712,0,0
1,2013,49,0,98,87,11,271439,768,36.10387601,32.05140013,4.052475879,282.9364977,0,0
2,2013,50,0,85,74,11,271439,768,31.31458633,27.26211046,4.052475879,282.9364977,0,0
3,2013,51,0,85,67,18,271439,768,31.31458633,24.68326217,6.631324165,282.9364977,0,0
4,2013,52,0,73,60,13,271439,768,26.89370356,22.10441388,4.789289675,282.9364977,0,0
5,2013,53,0,75,66,9,271439,768,27.63051735,24.31485527,3.315662082,282.9364977,0,0
6,2013,54,0,61,52,9,271439,768,22.47282078,19.1571587,3.315662082,282.9364977,0,0
7,2013,55,0,75,65,10,271439,768,27.63051735,23.94644837,3.684068981,282.9364977,0,0
8,2013,56,0,76,58,18,271439,768,27.99892425,21.36760009,6.631324165,282.9364977,0,0
9,2013,57,0,75,62,13,271439,768,27.63051735,22.84122768,4.789289675,282.9364977,0,0
10,2013,58,0,88,71,17,271439,768,32.41980703,26.15688976,6.262917267,282.9364977,0,0
11,2013,59,0,78,66,12,271439,768,28.73573805,24.31485527,4.420882777,282.9364977,0,0
12,2013,60,0,57,50,7,271439,768,20.99919319,18.4203449,2.578848286,282.9364977,0,0
1,2014,61,0,66,59,7,272241,459,24.24322567,21.67197446,2.571251208,168.6006149,0,0
2,2014,62,0,100,83,17,272241,459,36.73216011,30.48769289,6.244467218,168.6006149,0,0
3,2014,63,0,122,104,18,272241,459,44.81323533,38.20144651,6.611788819,168.6006149,0,0
4,2014,64,0,97,79,18,272241,459,35.6301953,29.01840649,6.611788819,168.6006149,0,0
5,2014,65,0,100,83,17,272241,459,36.73216011,30.48769289,6.244467218,168.6006149,0,0
6,2014,66,0,88,82,6,272241,459,32.3243009,30.12037129,2.203929606,168.6006149,1,0
7,2014,67,0,92,80,12,272241,459,33.7935873,29.38572809,4.407859213,168.6006149,1,0
8,2014,68,0,81,67,14,272241,459,29.75304969,24.61054727,5.142502415,168.6006149,1,0
9,2014,69,0,66,55,11,272241,459,24.24322567,20.20268806,4.040537612,168.6006149,1,0
10,2014,70,0,78,71,7,272241,459,28.65108488,26.07983368,2.571251208,168.6006149,1,0
11,2014,71,0,85,68,17,272241,459,31.22233609,24.97786887,6.244467218,168.6006149,1,0
12,2014,72,0,68,55,13,272241,459,24.97786887,20.20268806,4.775180814,168.6006149,1,0
1,2015,73,0,89,68,21,273138,646,32.58426144,24.8958402,7.688421238,236.5104819,1,0
2,2015,74,0,62,52,10,273138,646,22.69914842,19.03799545,3.66115297,236.5104819,1,0
3,2015,75,0,75,63,12,273138,646,27.45864728,23.06526371,4.393383564,236.5104819,1,0
4,2015,76,0,108,95,13,273138,646,39.54045208,34.78095322,4.759498861,236.5104819,1,0
5,2015,77,0,106,91,15,273138,646,38.80822149,33.31649203,5.491729455,236.5104819,1,0
6,2015,78,0,70,59,11,273138,646,25.62807079,21.60080252,4.027268267,236.5104819,1,0
7,2015,79,0,107,95,12,273138,646,39.17433678,34.78095322,4.393383564,236.5104819,1,0
8,2015,80,0,86,77,9,273138,646,31.48591554,28.19087787,3.295037673,236.5104819,1,0
9,2015,81,0,62,53,9,273138,646,22.69914842,19.40411074,3.295037673,236.5104819,1,0
10,2015,82,0,85,74,11,273138,646,31.11980025,27.09253198,4.027268267,236.5104819,1,0
11,2015,83,0,63,53,10,273138,646,23.06526371,19.40411074,3.66115297,236.5104819,1,0
12,2015,84,0,74,58,16,273138,646,27.09253198,21.23468723,5.857844752,236.5104819,1,0
1,2016,85,0,90,81,9,274266,668,32.81485857,29.53337271,3.281485857,243.5591725,1,0
2,2016,86,0,87,72,15,274266,668,31.72102995,26.25188685,5.469143095,243.5591725,1,0
3,2016,87,0,110,88,22,274266,668,40.10704936,32.08563949,8.021409872,243.5591725,1,0
4,2016,88,0,104,91,13,274266,668,37.91939212,33.17946811,4.739924015,243.5591725,1,0
5,2016,89,0,67,61,6,274266,668,24.42883916,22.24118192,2.187657238,243.5591725,1,0
6,2016,90,0,56,48,8,274266,668,20.41813422,17.5012579,2.916876317,243.5591725,1,0
7,2016,91,0,79,67,12,274266,668,28.80415363,24.42883916,4.375314476,243.5591725,1,0
8,2016,92,0,94,78,16,274266,668,34.27329673,28.43954409,5.833752634,243.5591725,1,0
9,2016,93,0,69,56,13,274266,668,25.15805824,20.41813422,4.739924015,243.5591725,1,0
10,2016,94,0,67,51,16,274266,668,24.42883916,18.59508652,5.833752634,243.5591725,1,0
11,2016,95,0,52,42,10,274266,668,18.95969606,15.31360067,3.646095396,243.5591725,1,0
12,2016,96,0,63,55,8,274266,668,22.970401,20.05352468,2.916876317,243.5591725,1,0
1,2017,97,0,72,65,7,275831,466,26.10293984,23.56515403,2.537785818,168.9440273,1,0
2,2017,98,0,59,45,14,275831,466,21.38990904,16.3143374,5.075571636,168.9440273,1,0
3,2017,99,0,92,70,22,275831,466,33.35375647,25.37785818,7.975898286,168.9440273,1,0
4,2017,100,0,80,73,7,275831,466,29.00326649,26.46548067,2.537785818,168.9440273,1,0
5,2017,101,0,79,69,10,275831,466,28.64072566,25.01531735,3.625408312,168.9440273,1,0
6,2017,102,0,81,73,8,275831,466,29.36580732,26.46548067,2.900326649,168.9440273,1,0
7,2017,103,0,86,69,17,275831,466,31.17851148,25.01531735,6.16319413,168.9440273,1,0
8,2017,104,0,70,66,4,275831,466,25.37785818,23.92769486,1.450163325,168.9440273,1,0
9,2017,105,0,79,65,14,275831,466,28.64072566,23.56515403,5.075571636,168.9440273,1,0
10,2017,106,0,71,55,16,275831,466,25.74039901,19.93974571,5.800653299,168.9440273,1,0
11,2017,107,0,85,68,17,275831,466,30.81597065,24.65277652,6.16319413,168.9440273,1,0
12,2017,108,0,96,72,24,275831,466,34.80391979,26.10293984,8.700979948,168.9440273,1,0
1,2018,109,0,85,68,17,277097,352,30.67517873,24.54014298,6.135035746,127.0313284,1,0
2,2018,110,0,83,70,13,277097,352,29.95340982,25.26191189,4.691497923,127.0313284,1,1
3,2018,111,0,111,80,31,277097,352,40.05817457,28.87075645,11.18741812,127.0313284,1,1
4,2018,112,0,106,88,18,277097,352,38.2537523,31.75783209,6.495920201,127.0313284,1,1
5,2018,113,0,82,63,19,277097,352,29.59252536,22.7357207,6.856804657,127.0313284,1,1
6,2018,114,0,98,67,31,277097,352,35.36667665,24.17925853,11.18741812,127.0313284,1,1
7,2018,115,0,120,100,20,277097,352,43.30613467,36.08844556,7.217689112,127.0313284,1,1
8,2018,116,0,119,95,24,277097,352,42.94525022,34.28402328,8.661226935,127.0313284,1,1
9,2018,117,0,105,81,24,277097,352,37.89286784,29.23164091,8.661226935,127.0313284,1,1
10,2018,118,0,109,89,20,277097,352,39.33640566,32.11871655,7.217689112,127.0313284,1,1
11,2018,119,0,110,83,27,277097,352,39.69729012,29.95340982,9.743880302,127.0313284,1,1
12,2018,120,0,122,96,26,277097,352,44.02790359,34.64490774,9.382995846,127.0313284,1,1
